ticker,candidate_number,selected_by_auto_arima,family,order,seasonal_order,mae,rmse,mape,aic,bic
AAPL,1,True,SARIMAX,"(3, 0, 0)","(1, 1, 0, 5)",19.473830082190826,26.165325089105973,6.820213124740214,-6122.888832810445,-6097.401088557371
AAPL,2,False,SARIMAX,"(3, 0, 0)","(1, 1, 0, 5)",15.851918911135337,21.58992373154906,5.552709457588039,-6122.385512159539,-6091.80021905585
AAPL,3,False,SARIMAX,"(3, 0, 1)","(1, 1, 0, 5)",19.85208569404056,26.506256511373905,6.9577688881449715,-6116.683754007701,-6086.098460904012
AAPL,4,False,SARIMAX,"(3, 0, 1)","(1, 1, 0, 5)",16.152527336925036,21.932886234486006,5.65850665033892,-6116.038338140862,-6080.355496186558
AAPL,5,False,SARIMAX,"(2, 0, 0)","(1, 1, 0, 5)",20.44514723180168,27.037281320042894,7.174003509815866,-6107.026471975906,-6086.636276573447
AAPL,6,False,SARIMAX,"(2, 0, 0)","(1, 1, 0, 5)",16.670990959691427,22.506958429807998,5.842162918224886,-6106.180044958246,-6080.692300705172
AAPL,7,False,SARIMAX,"(1, 0, 0)","(1, 1, 0, 5)",17.5128289074316,23.394482353208545,6.142905265224848,-6093.5415220670175,-6073.151326664558
AAPL,8,False,SARIMAX,"(2, 0, 1)","(1, 1, 0, 5)",13.939822154536092,17.081523214359386,5.139895158853136,-5986.854623982923,-5956.269330879234
AAPL,9,False,SARIMAX,"(3, 0, 0)","(0, 1, 0, 5)",20.208015242137183,26.739024937429274,7.093044447766291,-5902.012671059174,-5881.622475656714
AAPL,10,False,SARIMAX,"(3, 0, 0)","(0, 1, 0, 5)",16.404050384125096,22.12545073029936,5.753391419553092,-5901.5932035035385,-5876.105459250464
AAPL,11,False,SARIMAX,"(2, 0, 0)","(0, 1, 0, 5)",17.40406424363138,23.147054380014147,6.111960599143521,-5859.15979361632,-5838.76959821386
AAPL,12,False,SARIMAX,"(1, 0, 0)","(0, 1, 0, 5)",18.494474592424528,24.19025764796787,6.5076841331515825,-5820.197489548025,-5804.904842996181
AAPL,13,False,SARIMAX,"(0, 0, 1)","(0, 1, 1, 5)",16.014910462272518,21.716306974104846,5.612537739499541,-5375.8651247327425,-5355.474929330283
AAPL,14,False,SARIMAX,"(0, 0, 0)","(1, 1, 0, 5)",17.42735953866514,23.19046233568712,6.118995690881604,-4563.0290854565865,-4547.7364389047425
AAPL,15,False,SARIMAX,"(0, 0, 0)","(0, 1, 0, 5)",18.058547724510685,23.783413592958077,6.349018721491297,-4555.735520080414,-4545.540422379185
AAPL,16,False,SARIMAX,"(0, 0, 0)","(0, 1, 0, 5)",22.34269002278645,28.575419331596457,7.8775763699264285,-4551.098568906743,-4546.001020056128
MSFT,1,True,SARIMAX,"(3, 0, 0)","(1, 1, 0, 5)",55.650598981929754,59.57346591563223,14.074132251200785,-6170.185822107127,-6144.698077854053
MSFT,2,False,SARIMAX,"(2, 0, 0)","(1, 1, 0, 5)",55.1323232789592,59.08431296654641,13.94455935625537,-6169.650817956971,-6149.260622554511
MSFT,3,False,SARIMAX,"(3, 0, 0)","(1, 1, 0, 5)",63.67586472282628,66.96027151442144,16.054297296881575,-6169.570576863027,-6138.985283759338
MSFT,4,False,SARIMAX,"(2, 0, 1)","(1, 1, 0, 5)",59.86564969181045,63.643376082015216,15.125284513217451,-6169.430268757156,-6143.942524504082
MSFT,5,False,SARIMAX,"(2, 0, 0)","(1, 1, 0, 5)",63.05089679922828,66.35615302342468,15.898141016381409,-6168.911244429681,-6143.4235001766065
MSFT,6,False,SARIMAX,"(3, 0, 1)","(1, 1, 0, 5)",55.34762384715931,59.28778008784036,13.998412064616709,-6167.756170625952,-6137.170877522263
MSFT,7,False,SARIMAX,"(1, 0, 0)","(1, 1, 0, 5)",62.90469998812783,66.21363744893895,15.861498729497509,-6167.48236427085,-6147.09216886839
MSFT,8,False,SARIMAX,"(3, 0, 1)","(1, 1, 0, 5)",63.33408483150424,66.63021141375906,15.968894961600164,-6167.083787086455,-6131.400945132152
MSFT,9,False,SARIMAX,"(2, 0, 1)","(1, 1, 0, 5)",82.61429405940763,85.50268631300573,20.766399966491253,-6124.549305498796,-6093.964012395107
MSFT,10,False,SARIMAX,"(3, 0, 0)","(0, 1, 0, 5)",57.239756608368026,61.17431500312336,14.467594408828102,-5950.238789567604,-5929.848594165144
MSFT,11,False,SARIMAX,"(3, 0, 0)","(0, 1, 0, 5)",65.4950667404821,68.79245076929537,16.50504327712932,-5949.830796282937,-5924.3430520298625
MSFT,12,False,SARIMAX,"(2, 0, 0)","(0, 1, 0, 5)",65.80707825549823,69.12564441689945,16.581628104910727,-5933.3456335605115,-5912.955438158052
MSFT,13,False,SARIMAX,"(1, 0, 0)","(0, 1, 0, 5)",67.24421963860065,70.530427225382,16.93944159652536,-5918.684845541156,-5903.392198989312
MSFT,14,False,SARIMAX,"(0, 0, 1)","(0, 1, 1, 5)",62.429163959956966,65.79253316681118,15.739875996500569,-5506.483749729672,-5486.093554327213
MSFT,15,False,SARIMAX,"(0, 0, 0)","(0, 1, 0, 5)",60.460384765762036,64.044079695255,15.243780168444749,-4764.755055482067,-4754.559957780838
MSFT,16,False,SARIMAX,"(0, 0, 0)","(1, 1, 0, 5)",60.60405898148872,64.14480831389474,15.280353952381928,-4764.591743540013,-4749.299096988169
MSFT,17,False,SARIMAX,"(0, 0, 0)","(0, 1, 0, 5)",52.04488016764323,56.42682486848636,13.165457281623032,-4759.065299818957,-4753.967750968342
NVDA,1,True,SARIMAX,"(3, 0, 1)","(0, 1, 1, 5)",12.346939562023115,15.907073703911822,6.132941258421208,-7284.640697690391,-7248.957855736087
NVDA,2,False,SARIMAX,"(3, 0, 2)","(0, 1, 1, 5)",10.873979388533664,13.39194230308745,5.596380126053546,-7274.929807053193,-7234.149416248275
NVDA,3,False,SARIMAX,"(2, 0, 2)","(0, 1, 1, 5)",11.579299346615276,14.353002740500415,5.861796846334208,-7272.071712710407,-7236.388870756104
NVDA,4,False,SARIMAX,"(2, 0, 0)","(0, 1, 1, 5)",11.457914650715711,14.07376706078713,5.8532652229810385,-7161.998867770612,-7136.511123517538
NVDA,5,False,SARIMAX,"(3, 0, 1)","(1, 1, 0, 5)",11.52800964961664,14.284543960553256,5.846802652550485,-6915.1096134872205,-6879.426771532917
NVDA,6,False,SARIMAX,"(2, 0, 1)","(1, 1, 0, 5)",11.508693620115883,14.260651603510565,5.83812874408188,-6900.7014356673735,-6870.116142563685
NVDA,7,False,SARIMAX,"(1, 0, 0)","(1, 1, 0, 5)",11.549840649333019,14.337249696164521,5.850743486656665,-6894.4225815517775,-6874.032386149318
NVDA,8,False,SARIMAX,"(2, 0, 0)","(1, 1, 0, 5)",11.542736119678509,14.324626324815217,5.848389154505905,-6893.1026274651485,-6867.614883212074
NVDA,9,False,SARIMAX,"(1, 0, 1)","(1, 1, 0, 5)",11.546517674892538,14.331004545754856,5.849723051126055,-6892.912327407133,-6867.424583154058
NVDA,10,False,SARIMAX,"(3, 0, 1)","(0, 1, 0, 5)",11.696272347743836,14.546847050377835,5.916604155306168,-6675.208928627742,-6644.6236355240535
NVDA,11,False,SARIMAX,"(2, 0, 1)","(0, 1, 0, 5)",11.700349720033424,14.543698630555989,5.918751613217267,-6639.668196146207,-6614.180451893133
NVDA,12,False,SARIMAX,"(1, 0, 0)","(0, 1, 0, 5)",11.803671121487055,14.70545337834919,5.958053952657783,-6625.387530268201,-6610.094883716357
NVDA,13,False,SARIMAX,"(0, 0, 1)","(0, 1, 1, 5)",11.611985747688731,14.405344535125273,5.883943626397733,-6241.551179073029,-6221.160983670569
NVDA,14,False,SARIMAX,"(0, 0, 1)","(1, 1, 0, 5)",11.69909658299976,14.536654406958748,5.919484491291868,-6229.772246651645,-6209.382051249186
NVDA,15,False,SARIMAX,"(0, 0, 0)","(1, 1, 0, 5)",11.663681232357579,14.508175111465325,5.900685474532092,-5558.990909991851,-5543.698263440007
